"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","5","0","0","0"
"","[UI] Профиль","","3","1","5","0","0"
"","Deals","","0","8","0","0","0"
"","[UI] Создание сделки","","3","1","14","0","0"
"","[API] Уведомления","","0","3","0","0","0"
"","[API] Профиль","","0","6","0","0","0"
"","[API] Сделки","","0","3","0","0","0"
"","[API] Авторизация","","0","3","0","0","0"
"","[API] Опросник","","0","1","0","0","0"
"","[UI] Авторизация","","0","0","2","0","0"
"","[API] UsersProfile","","0","1","0","0","0"
"","UserAnswer","","0","1","0","0","0"
